gene
ADAR
ANLN
ANP32E
APOL6
ARID5B
ARL4A
ATAD2
AURKA
AURKB
AUTS2
B2M
BANK1
BATF2
BIRC5
BLM
BPGM
BRIP1
BST2
BTG1
BUB1
C1R
C1S
CASP1
CASP3
CASP4
CASP7
CASP8
CASP8AP2
CBX5
CCL2
CCL5
CCL7
CCNB2
CCNE2
CCRL2
CD274
CD38
CD40
CD47
CD69
CD74
CD86
CDC20
CDC25C
CDC45
CDC6
CDCA2
CDCA3
CDCA7
CDCA8
CDK1
CDKN1A
CENPA
CENPE
CENPF
CFB
CFH
CHAF1B
CIITA
CKAP2
CKAP2L
CKAP5
CKS1B
CKS2
CLSPN
CMKLR1
CMPK2
CMTR1
CNP
CSF1
CSF2RB
CTCF
CXCL10
CXCL11
CXCL9
DDX58
DDX60
DHX58
DLGAP5
DSCC1
DTL
E2F8
ECT2
EIF2AK2
EIF4E3
ELF1
EPSTI1
EXO1
FAM64A
FAS
FCGR1A
FEN1
FGL2
FPR1
G2E3
GAS2L3
GBP2
GBP4
GBP6
GCH1
GINS2
GMNN
GMPR
GPR18
GTSE1
GZMA
HELLS
HELZ2
HERC6
HIF1A
HJURP
HLA-A
HLA-B
HLA-C
HLA-DMA
HLA-DQA1
HLA-DRB1
HLA-G
HMGB2
HMMR
HN1
ICAM1
IDO1
IFI27
IFI30
IFI35
IFI44
IFI44L
IFIH1
IFIT1
IFIT2
IFIT3
IFITM1
IFITM2
IFITM3
IFNAR2
IL10RA
IL15
IL15RA
IL18BP
IL2RB
IL4R
IL6
IL7
IRF1
IRF2
IRF4
IRF5
IRF7
IRF8
IRF9
ISG15
ISG20
ISOC1
ITGB7
JAK2
KIF11
KIF20B
KIF23
KIF2C
KLRK1
LAMP3
LAP3
LATS2
LBR
LCP2
LGALS3BP
LPAR6
LY6E
LYSMD2
MARCHF1
MCM2
MCM4
MCM5
MCM6
METTL7B
MKI67
MLF1IP
MOV10
MSH2
MT2A
MTHFD2
MVB12A
MVP
MX1
MX2
MYD88
NAMPT
NASP
NCAPD2
NCOA3
NCOA7
NDC80
NEK2
NFKB1
NFKBIA
NLRC5
NMI
NOD1
NUB1
NUF2
NUP93
NUSAP1
OAS1
OAS2
OAS3
OASL
OGFR
P2RY14
PARP12
PARP14
PARP9
PCNA
PDE4B
PELI1
PFKP
PIM1
PLA2G4A
PLSCR1
PML
PNP
PNPT1
POLA1
POLD3
PRIM1
PROCR
PSMA2
PSMA3
PSMB10
PSMB2
PSMB8
PSMB9
PSME1
PSME2
PSRC1
PTGS2
PTPN1
PTPN2
PTPN6
RAD51
RAD51AP1
RANGAP1
RAPGEF6
RBCK1
RFC2
RIPK1
RIPK2
RNF31
RPA2
RRM1
RRM2
RSAD2
RTP4
SAMD9
SAMD9L
SAMHD1
SECTM1
SELL
SELP
SERPING1
SLAMF7
SLBP
SLC25A28
SMC4
SOCS1
SOCS3
SOD2
SP110
SPPL2A
SRI
SSPN
ST3GAL5
ST8SIA4
STAT1
STAT2
STAT3
STAT4
TACC3
TAP1
TAPBP
TDRD7
TENT5A
TIPIN
TMEM140
TMPO
TNFAIP2
TNFAIP3
TNFAIP6
TNFSF10
TOP2A
TOR1B
TPX2
TRAFD1
TRIM14
TRIM21
TRIM25
TRIM26
TRIM5
TTK
TUBB4B
TXNIP
TYMS
UBA7
UBE2C
UBE2L6
UBR7
UHRF1
UNG
UPP1
USP1
USP18
VAMP5
VAMP8
VCAM1
WARS1
WDR76
XAF1
XCL1
ZBP1
ZNFX1
