gene,module,program,umap1,umap2
PTGES3,0,other,-0.70611197,4.6939225
SDF4,15,other,0.2711108,7.718839
COX7A2L,9,other,-1.7510449,4.750234
PA2G4,0,other,-1.1101263,5.800848
NFKBIZ,19,other,1.9416312,4.802763
MRPS34,0,other,-2.4911258,6.7512474
SHISA5,1,other,1.1300274,3.8506784
G2E3,7,G2M,1.4131476,14.825416
WFDC2,0,other,-3.4389114,7.748569
RNH1,4,other,-0.18027122,6.486148
TUFM,0,other,-1.1772466,6.219307
IGHG1,8,other,0.09101235,12.371247
DDAH2,0,other,-0.20565559,8.161921
APEX1,0,other,-1.2604705,6.70892
CASP8AP2,7,S_phase,1.2475694,14.747273
ITK,1,other,4.4913807,4.36154
VDAC2,0,other,-1.3217466,6.026671
PLP2,1,other,2.6739943,3.7117927
YIF1A,15,other,-0.36220512,8.2691555
CIB1,1,other,0.4438564,4.261487
TOR1B,7,IFN_gamma,1.4739513,14.695143
CYTOR,1,other,2.9297044,4.6411543
LMAN2,15,other,0.46503884,7.6665826
UBA7,7,IFN_alpha,1.6122459,14.465659
LSM5,0,other,-2.2636135,6.8660245
OSTF1,1,other,2.5655541,4.0303035
LAGE3,0,other,-2.6739542,7.5956707
LSM3,0,other,-2.0598578,6.446745
GABRP,11,other,-2.874941,9.573539
UQCRFS1,0,other,-1.3246033,6.1749954
PML,18,IFN_gamma,1.1148622,3.029277
IFNAR2,7,IFN_gamma,1.7669725,14.537332
CEBPD,4,other,1.7678651,8.207877
HNRNPA0,9,other,-0.38123867,4.5011163
TUBA1A,2,other,0.9168549,8.934976
MOV10,7,IFN_alpha,1.6280785,14.526841
NCL,0,other,-0.059903573,5.176465
KRT10,0,other,-1.2855185,4.775261
LITAF,1,other,2.393398,3.7703118
EIF2AK2,18,IFN_alpha,1.1686507,2.7271907
MBP,1,other,3.9917471,4.2803893
CLTC,5,other,1.1178783,7.206785
CCL4L2,1,other,4.581041,3.5455406
ZG16B,3,other,-4.4878,9.518518
TRIM21,7,IFN_alpha,1.8655003,14.258228
FAM162A,2,other,-0.11042489,10.118523
NAPA,0,other,-0.5526693,6.21322
ACTN4,2,other,1.4994742,6.005837
NCOA7,7,IFN_alpha,2.0661335,13.993667
RNF181,0,other,-0.69030374,6.1012716
ATRAID,15,other,0.034227435,7.9273725
NUTF2,0,other,-1.8643811,6.5372543
OGT,5,other,2.7160923,5.8206024
RIPK2,7,IFN_alpha,1.89814,14.677373
GBP2,18,IFN_alpha,1.7459975,2.7969408
TMPO,7,G2M,0.14088568,15.050771
PNP,7,IFN_gamma,2.1169305,13.844608
MGAT1,4,other,2.2939482,7.7280755
LYSMD2,18,IFN_gamma,1.8238612,2.776665
SERPINB1,1,other,2.2728055,4.1884766
RAB11A,6,other,-0.07620247,7.8720665
TOMM22,9,other,-1.739334,6.0104847
COX20,0,other,-2.3907006,7.450356
SSBP1,0,other,-1.2675753,6.121277
CFLAR,1,other,3.20884,4.67988
ITGA4,1,other,3.597457,4.359609
NDUFB1,0,other,-2.0450244,5.443686
CASP3,7,IFN_gamma,1.5378317,14.637106
EMP1,2,other,2.169698,9.316633
PGLS,0,other,-1.1203669,6.14643
APOL6,18,IFN_gamma,1.4267595,2.531623
CUTA,0,other,-1.1752647,4.76024
SIGIRR,1,other,3.0522966,3.8575578
MRPS21,0,other,-1.8236628,5.556038
LBR,7,G2M,3.8169584,4.9285183
ARPC5L,1,other,2.3595839,4.6509485
PRMT1,0,other,-1.3535217,7.4990435
TFF1,0,other,-3.9112012,8.0139885
TMEM179B,15,other,0.4598776,7.25553
UQCRC1,0,other,-0.7817492,6.518678
KRT23,11,other,-3.0959084,9.229252
NORAD,5,other,0.1872682,7.8760476
NCOR1,5,other,2.4738967,4.737587
STARD10,0,other,-4.097158,7.821562
CCT4,0,other,-1.5536112,7.124002
TECR,1,other,1.0393785,6.7874103
ADAR,5,IFN_alpha,1.4508172,5.190506
FAS,7,IFN_gamma,1.8609698,14.001426
MYLK,2,other,0.120124914,9.634695
RAD21,7,other,-1.527908,7.822062
LAMTOR5,0,other,-1.3105006,5.8347178
STMP1,0,other,-1.5293021,6.008955
OLFML3,2,other,1.6302519,10.820801
TLN1,2,other,1.3818622,5.9855475
LAMTOR4,0,other,-1.2384901,4.812947
SEPT7,1,other,1.3942722,4.2896852
MRPL20,0,other,-2.069108,5.778239
MORF4L1,0,other,-0.30297187,5.521943
PDGFRL,2,other,1.6584882,10.867805
PARP9,18,IFN_alpha,1.2165582,2.485033
MIR4435-2HG,1,other,3.0640643,4.846529
IL4R,7,IFN_alpha,1.7851855,14.619009
CAMTA1,0,other,-1.6267885,7.5075693
XRCC6,0,other,-1.3976029,6.97596
ISCU,9,other,-0.59953,4.284359
ARID4B,5,other,2.3191738,5.1873927
HNRNPC,0,other,-0.051926445,5.0784125
BRD2,5,other,1.4883955,5.05666
EXOSC4,0,other,-2.6408339,8.782175
MS4A1,16,other,4.431865,7.109934
SCAND1,0,other,-1.6012654,5.4659023
CITED2,19,other,2.0151896,4.628839
CORO1B,1,other,2.154485,3.877545
SET,0,other,-0.67829335,5.872719
NASP,7,S_phase,-1.0783671,7.2302027
ZNHIT1,0,other,-0.9865379,6.845946
TRIM26,7,IFN_alpha,1.5066673,14.638248
CLNS1A,9,other,-2.1179945,4.251464
C19orf66,18,other,1.6779723,2.9676087
RNPS1,0,other,-0.58217824,4.836399
RNF7,0,other,-1.605441,5.8235273
LAMA4,2,other,1.7904015,9.903562
