gene,module,program,umap1,umap2
ATF4,2,other,0.4755156,8.73036
LRP10,15,other,0.24470854,6.480878
MAF1,0,other,-2.0393174,7.4426975
LIMS1,4,other,2.0481405,7.585385
ADD3,2,other,1.6033894,9.900049
GPR183,1,other,3.1318498,4.497337
SPSB3,5,other,1.9476548,5.175634
PPIG,5,other,1.332012,5.175381
RCSD1,1,other,3.5987923,4.615724
CRNDE,11,other,-2.3287308,10.9509115
SNX6,1,other,2.1924303,4.348361
DDX18,17,other,0.53222656,6.49382
TPD52,0,other,-2.6922917,8.656741
TMEM141,0,other,-3.0342824,7.487099
PLPP3,2,other,1.9490584,10.573186
RBPJ,1,other,4.4492335,3.405284
PLIN2,4,other,2.55957,7.790122
RCN3,2,other,1.0907861,11.10738
RAB11B,0,other,-0.23651357,5.8985453
PFKL,4,other,3.8366761,8.689158
USP1,7,S_phase,0.41639563,15.034145
BCLAF1,5,other,1.9647461,5.9105887
STOML2,0,other,-2.6375096,8.0625925
RTL8C,2,other,0.43857402,9.098398
CHMP5,18,other,0.7856563,3.4029129
TCP1,0,other,-1.8458065,7.4701753
UQCRC2,0,other,-1.6242131,7.3704944
SH3GLB1,4,other,1.2210065,3.6029792
TCIRG1,1,other,3.0381258,4.478691
TRABD,1,other,3.9749367,4.3083134
KLRB1,1,other,4.116748,3.9711504
GLIPR1,1,other,2.7611418,3.9867759
RBM17,0,other,-1.1356779,7.0719004
PIK3R1,1,other,3.711712,4.288437
KLF2,6,other,3.019097,9.105897
RTN3,0,other,-1.8685061,8.3243685
PTPRF,3,other,-4.24571,7.824531
POLR2F,0,other,-1.7431549,7.136258
GPBP1,5,other,2.8906076,5.418152
TAF15,5,other,2.1136043,6.002334
MMADHC,0,other,-1.6591599,6.797769
BUD31,0,other,-1.6864724,6.6918445
FKBP11,8,other,0.106403604,11.958301
MRPS6,1,other,2.911747,4.5375643
SRSF1,5,other,1.4156033,6.0538626
USP15,1,other,3.14121,4.383932
ATP6V0D1,4,other,2.2030532,7.3882017
NDUFA5,0,other,-1.8053789,8.042003
PTPN2,18,IFN_gamma,1.9754943,2.9090316
SPRY1,6,other,2.3752267,9.34179
TAX1BP1,5,other,0.5527263,5.7837014
FOXP1,5,other,1.9574169,6.4079776
PIM2,1,other,4.5908175,3.865678
RPA2,7,S_phase,3.7530923,4.3377976
ZNF683,1,other,4.9075475,3.3148143
CNP,7,IFN_alpha,1.7429245,14.220713
AKNA,1,other,4.3347917,4.3084955
SASH3,1,other,3.6454244,3.9485898
POLR2G,0,other,-1.4595505,7.3986773
DDX46,5,other,2.0068283,5.8590546
MRC2,2,other,1.4832118,11.250669
SSR1,15,other,0.22003895,7.85877
EIF3A,5,other,0.8593436,6.1010666
MFSD10,5,other,2.0494583,5.606998
UBE2B,9,other,-0.18143146,5.0408664
TOP1,5,other,0.7471076,6.4551997
DOK2,1,other,3.9332936,3.7235305
NGRN,0,other,-1.3757879,7.8355527
JMJD1C,5,other,1.8868321,5.864502
EFEMP1,2,other,1.9247763,10.821757
NUB1,18,IFN_alpha,1.5971764,2.5132153
VDAC3,0,other,-1.5903716,7.8107934
MYADM,2,other,0.9475118,9.9995165
SLBP,7,S_phase,0.36910495,14.848154
PSMF1,0,other,-0.85022587,5.948682
RGS19,1,other,2.9332452,4.4183083
VASP,1,other,2.3554108,4.2281933
EMC4,15,other,0.10560557,7.5302315
OGA,5,other,2.4081976,6.03035
CCND2,1,other,3.7403631,3.8971748
OTUB1,1,other,0.015865944,4.705882
MEG3,2,other,1.6353065,11.247398
CISD3,0,other,-2.2727027,7.0793633
HNRNPH3,5,other,0.840403,5.894471
HADHA,4,other,1.3115292,7.9426575
CEMIP2,1,other,3.8226237,4.8180423
EIF5B,5,other,0.6972532,6.624079
SYF2,9,other,-1.655742,3.8384962
CDKN1B,1,other,3.582602,3.9808185
PSMG2,0,other,-1.0766554,5.7854533
MPG,0,other,-0.56744576,7.7613435
CERCAM,2,other,1.0577402,11.127215
COPZ1,0,other,-1.8567839,7.0549545
MVP,2,IFN_gamma,1.0891235,9.333838
RSF1,5,other,2.0976768,5.6659665
SNX17,1,other,-0.6912927,5.767199
SSU72,0,other,-2.6151128,6.2823505
ANAPC5,5,other,2.089507,6.2389455
SLC38A2,2,other,1.2291307,9.693265
PSMD7,0,other,-1.3752261,6.9532347
LENG8,5,other,2.2085545,6.0524535
SYPL1,6,other,1.545022,8.255072
NDUFB5,0,other,-1.253697,6.7253346
MTRNR2L8,5,other,8.658485,10.793657
MFF,0,other,-2.3724833,6.727173
CD93,6,other,3.0965657,9.305738
RAB25,21,other,-4.969994,6.797534
YIPF3,15,other,-0.26262254,8.394582
FAM177A1,1,other,2.1861506,5.1090155
TMEM256,0,other,-1.416904,7.0040746
FERMT3,1,other,3.0502498,4.3367105
PRCP,6,other,2.8560338,9.179745
MAP4,2,other,1.1987318,9.592609
OGFR,18,IFN_alpha,1.7509247,2.5062551
THRAP3,5,other,1.4279414,5.335786
U2SURP,5,other,1.7587918,5.967453
ATM,1,other,3.8076794,5.1214185
MRPS30-DT,3,other,-4.4657645,9.495321
TGFB1,1,other,2.822597,4.017116
MYCBP2,1,other,3.2319968,4.553003
PALMD,6,other,3.21214,9.554609
PSMB4,0,other,-1.711618,7.988759
CAPZA1,1,other,2.825605,4.1530333
MFAP5,2,other,1.5343806,10.609772
DCTN3,0,other,-1.46677,6.551426
LSM8,1,other,3.2029665,3.7885218
RAB6A,2,other,1.1313952,9.010828
TWF2,1,other,2.4829679,3.9787838
HSPA9,0,other,-1.937042,7.678818
WNK1,5,other,1.857495,5.8529463
MRPS15,0,other,-2.550816,7.638136
HAX1,0,other,-2.7324646,7.5193167
PCNP,0,other,-1.4307314,7.371408
SURF4,15,other,0.44496578,8.593475
DNAJC1,5,other,1.0332704,6.9629254
HNRNPUL1,5,other,1.0128441,5.2850175
CYHR1,0,other,-2.2414768,8.70575
BAG1,3,other,-2.212619,7.127801
SDC2,12,other,-0.60658133,10.426354
LEPROT,2,other,1.1997874,8.971488
LSM14A,1,other,3.905818,4.0282235
MTCH2,0,other,-2.3200858,7.845797
DAB2,4,other,2.156463,8.175305
PRNP,2,other,1.6556295,9.398356
DGUOK,0,other,-1.8875723,5.5799036
ARF6,1,other,3.7236178,3.730319
CLK1,1,other,3.586441,5.3022633
FDCSP,8,other,-3.0008676,10.0947695
TFG,15,other,-0.8182924,8.641056
AAK1,1,other,4.0502024,4.6503525
HLA-DMB,16,other,3.6069736,6.870847
XRN2,5,other,0.12050704,6.4276147
MRPL43,0,other,-1.0660338,7.5476313
ACAP2,1,other,2.455358,5.064955
DNAJC19,0,other,-2.6778622,7.817965
DNAJC8,0,other,-0.77720016,6.022393
SLC44A2,6,other,-0.81614083,8.695416
EIF6,0,other,-1.8245584,7.889019
PTGDS,2,other,1.4112362,10.486712
SRSF4,5,other,1.7756761,5.840853
CAVIN2,6,other,3.356273,9.759513
TMEM134,0,other,-2.6595252,8.117537
HEBP1,0,other,-0.49151126,7.8442783
CDC42SE1,1,other,3.63778,4.3555565
ANXA7,0,other,-1.237325,6.9191055
KXD1,0,other,-1.8729268,6.892212
YME1L1,1,other,3.2709708,5.1566377
DNAJC15,0,other,-0.40657094,6.4524674
CNOT7,1,other,3.2739801,4.1438236
MAGOH,0,other,-1.6117618,7.3263416
SNRPB2,0,other,-1.3007008,6.8602104
EIF4G1,5,other,0.9636914,6.825404
RGS5,6,other,2.7846134,10.285647
COL16A1,2,other,1.5344005,10.975795
AP3S1,2,other,0.40679607,8.953463
SPG21,4,other,2.236097,7.340361
GLIPR2,1,other,4.064023,3.7306824
TSC22D4,1,other,3.87347,4.0263977
EIF1B,9,other,-0.3172855,4.5648355
UFM1,8,other,0.033038724,11.734155
FKBP10,2,other,0.74850756,10.898949
TNFAIP8,1,other,3.4638264,4.477986
EMCN,6,other,3.055609,9.316507
MINOS1,0,other,-2.0977604,6.6483345
SERINC1,2,other,1.210737,8.592761
TINAGL1,6,other,2.866211,9.87264
PRPF40A,5,other,0.8975284,5.877487
ANTXR1,2,other,1.0539533,11.696009
PTBP1,5,other,1.1396772,5.963918
FKBP5,1,other,4.3416543,4.409699
SYNCRIP,5,other,0.20743723,6.853403
RAB14,5,other,0.09222137,7.5255227
PIM3,6,other,0.4954431,8.3032465
TIMM17B,0,other,-2.6958282,7.8813567
C7orf50,0,other,-2.1768208,7.1770716
RBL2,1,other,4.293266,4.3943834
MRPL54,0,other,-2.351966,5.8025265
MAT2B,1,other,3.3555288,3.8265374
PAM,2,other,0.32643214,10.0236025
PHLDA1,6,other,3.049014,5.041087
LGALS9,4,other,3.2425082,7.563015
RCN2,15,other,-0.4100159,9.932952
TM9SF2,15,other,0.883633,8.003596
METTL9,9,other,-1.9735943,4.5486264
LINC02446,1,other,5.213498,3.4178245
CDH5,6,other,3.3181486,9.660303
IL1B,4,other,3.6580164,7.8487916
TRA2B,5,other,1.1973435,5.796211
CRISPLD2,2,other,1.606762,10.899278
G3BP1,5,other,0.45959136,6.638708
PIN1,1,other,1.8700503,4.847781
MFSD1,4,other,2.6823704,7.9424233
LASP1,5,other,2.2412508,5.503962
MTPN,4,other,2.7934542,7.0376124
COA4,0,other,-2.6926193,7.6737638
DDX21,5,other,0.027128536,6.549317
MRPL34,0,other,-2.4339607,7.4552655
AKR7A2,0,other,-1.4312288,7.9571486
JUND,19,other,1.6720479,5.016626
CCDC107,1,other,4.1352315,3.7441778
MAX,1,other,2.8772104,4.0289097
FBXO32,11,other,-2.3255265,9.982781
RTF2,0,other,-1.5348877,7.415415
AIP,1,other,3.567582,3.9169662
PLEK,4,other,3.2553666,7.624004
MT1G,10,other,-3.9563773,8.677372
PPM1K,18,other,4.232808,5.5924907
TBRG1,1,other,3.500405,4.5167866
PNPLA2,1,other,1.6390511,6.7713265
OXA1L,9,other,-1.7313751,3.8684285
BTF3L4,0,other,-1.777103,7.4932227
ARHGAP4,1,other,4.055456,4.5412865
NT5C,5,other,3.4344888,5.5520964
FCGR2A,4,other,3.155598,7.944804
ASS1,11,other,-2.2650843,11.085783
SLTM,5,other,2.08909,5.8737326
PAFAH1B1,5,other,2.4062839,5.8573318
NDRG1,2,other,-0.15323989,10.62557
UACA,2,other,1.8121978,9.657463
IMP3,1,other,0.29004928,5.52382
WISP2,2,other,1.5772848,10.711171
ICAM2,6,other,3.117558,9.207903
TACC1,2,other,2.0409234,9.468822
TMEM167A,4,other,-0.34970844,7.530982
SRSF9,0,other,-2.0919526,6.3208885
HEXB,4,other,1.8766178,8.173129
NOSIP,1,other,4.1942487,4.3320117
HMOX1,4,other,2.9450154,7.8888035
COL8A1,2,other,1.0286276,11.793791
YPEL5,19,other,2.4739704,4.593745
MRPL3,0,other,-2.397014,8.176617
ATG3,4,other,2.3888357,7.416657
CTNNB1,2,other,1.1640048,8.856645
TMED4,1,other,1.1018214,6.9169836
COPS5,0,other,-2.5823433,8.585797
SF3A2,1,other,3.5478303,3.7549832
LOX,2,other,1.0224353,11.137354
LIMA1,2,other,1.3797047,10.270906
CCDC124,0,other,-1.7311679,7.2207627
TMEM205,0,other,-3.333948,8.101327
COL10A1,2,other,1.0531621,11.775067
FIBP,0,other,-1.6278664,6.637902
GRSF1,1,other,-2.265079,7.9818444
ZC3HAV1,1,other,3.9550283,4.704796
SH2D1A,1,other,4.6187234,4.041513
RASSF5,1,other,4.020797,3.6844409
CYSTM1,0,other,0.3010837,7.5518584
BTNL9,6,other,3.5200424,9.99895
ANKRD10,5,other,1.916139,5.976961
NID1,2,other,1.9140567,10.243961
MRPL13,0,other,-2.8852634,8.702334
RSRC2,5,other,2.2707455,5.6485853
TNRC6B,5,other,2.6819475,6.017849
LSM6,1,other,2.7074378,3.8182266
SULF1,2,other,0.8670582,11.384428
VAT1,2,other,1.8743523,9.497032
ASH1L,5,other,2.146962,6.2137494
CRACR2B,20,other,-3.0703106,8.889083
NBDY,0,other,-1.0787845,7.0766435
GOLPH3,0,other,-2.18381,8.555858
LINC00861,1,other,4.4346437,4.3730626
POLE4,6,other,0.6052127,8.268389
MZT2A,0,other,-2.6546924,6.942387
DNAJC4,0,other,-2.7180684,8.119972
SUPT4H1,4,other,0.0649921,6.512315
C9orf78,1,other,3.8188143,3.9608314
IGHG3,8,other,0.061301365,12.427962
ANGPTL2,2,other,1.0365721,11.399108
CTTN,3,other,-4.1615844,7.726944
UBE2V2,12,other,-1.5774508,9.994374
CD55,19,other,0.8002931,10.323028
CLEC11A,2,other,1.1851164,11.185405
DBNL,4,other,2.8709857,6.720429
MCUB,1,other,3.7173939,4.4406343
LY6K,12,other,-1.5951699,10.346133
COMMD1,9,other,-1.865856,3.5356114
HNRNPD,5,other,0.94653326,6.371593
SERINC3,2,other,1.1691945,8.772893
SNHG7,9,other,0.518862,8.1571455
AHCY,0,other,-2.448977,8.110552
PRRC2B,5,other,2.0098774,6.2021003
CLPP,1,other,2.4896398,5.0390906
ABHD14B,9,other,-2.0184703,4.0287447
ADAM12,2,other,1.4156961,11.357198
IGFBP3,2,other,2.0078914,9.7016535
ACKR1,6,other,2.9524446,9.293662
PRPF6,0,other,-2.500029,8.0177
NDUFAF8,0,other,-2.658417,7.2596087
PIP,0,other,-3.1756082,7.7555676
COX16,0,other,-1.8479006,6.622194
ERRFI1,11,other,-2.4042318,9.768612
TMOD3,6,other,2.6416948,8.818855
GSDMD,18,other,1.162309,2.9485557
DAP3,0,other,-2.420495,8.115373
UQCRHL,0,other,-2.1122334,7.88746
PDCD6IP,5,other,2.2385452,6.120285
PODN,2,other,1.6577278,10.975067
DDT,0,other,-2.2148657,6.9017863
CHD2,5,other,3.3475893,5.440457
SPINT1,3,other,-4.3148975,7.8558693
FUNDC2,0,other,-0.93293655,7.8486967
BIN1,1,other,4.001421,4.188134
CHI3L1,12,other,-0.73848104,10.079656
OSBPL8,2,other,1.0586575,10.517112
CXCL2,4,other,4.163217,8.062889
DCTN2,2,other,1.2606956,9.572937
THBS1,2,other,0.8715577,10.7349415
FLT3LG,1,other,4.5082927,4.2916875
SEPT11,2,other,0.8275099,10.3065815
SNX2,4,other,3.4828498,6.8291974
REXO2,2,other,0.795165,9.630059
SHARPIN,0,other,-2.498367,8.480099
CALCOCO2,18,other,1.1137962,3.0043552
FNBP4,5,other,2.7836585,5.9396377
RASAL3,1,other,4.3444705,3.981626
TGFB1I1,2,other,1.4400747,10.174141
DENR,0,other,-2.006758,8.436865
PSMB7,0,other,-1.7999924,7.6725965
SCARB2,4,other,1.3134778,8.02824
GLUD1,5,other,1.4023602,6.598728
GCC2,5,other,3.4891546,5.431053
DDX6,5,other,3.7929032,5.38641
PRPF8,5,other,2.2182205,6.055423
EHD2,2,other,1.6997584,9.695869
ARL2BP,2,other,1.0958375,9.644674
CALHM6,4,other,3.1059601,7.9727483
SNRPA,7,other,-0.0053492594,14.539326
KIAA1324,3,other,-4.707785,10.116643
THOC7,0,other,-2.2219777,7.056341
HIST1H1C,0,other,-3.2070043,7.8670173
MYC,0,other,-1.9853609,7.4764223
DPM3,0,other,-1.640396,7.5620546
RALA,4,other,2.2026908,7.7804623
CD5,1,other,4.61592,4.405512
IFNGR1,4,other,2.1380925,7.8314533
ECHS1,0,other,-1.90924,7.694765
RARRES1,11,other,-1.3890817,9.620282
RNASEH2C,2,other,0.5359487,9.088641
SNRNP200,5,other,2.9005833,5.8936515
CHPF,2,other,0.26802856,10.425049
DAP,21,other,-5.0896144,6.438748
TMEM160,0,other,-2.2224622,6.556923
PHIP,5,other,2.3114622,5.8544855
GLO1,0,other,-2.1462982,8.316353
HSPB6,2,other,1.6269457,10.508791
GOLGB1,5,other,1.5346576,6.707766
CCNH,1,other,3.7492182,4.8735585
PLXDC2,2,other,1.2302438,10.779654
CDC42EP3,6,other,3.3354993,5.394688
YTHDC1,5,other,2.1588438,6.0764356
CYBC1,1,other,3.552701,4.308685
HIST1H2AC,3,other,-3.9783707,8.5173645
BOLA3,0,other,-2.5750241,7.4042745
SFT2D1,4,other,2.5895147,6.9797745
RIPOR2,1,other,4.3267145,5.325656
UGP2,1,other,2.753932,5.319799
CPNE3,0,other,-2.512003,8.508622
SORBS2,11,other,-2.2892733,11.516524
TSTA3,0,other,-2.6395676,8.332532
SYNRG,1,other,4.008532,4.492597
TCF7,1,other,4.554903,4.5238743
MRPL4,0,other,-2.4002192,7.79597
CYBRD1,2,other,1.7587615,11.006807
RBBP7,0,other,-2.4356275,8.324746
VPS13C,5,other,3.4406018,5.5005665
SMIM19,0,other,-3.6139574,8.3331995
MMP11,2,other,0.89612025,11.183608
PSMC3,0,other,-1.5611764,7.7520885
C19orf24,0,other,-2.4846976,6.3389263
PPP1CB,0,other,-2.728613,8.742586
ADI1,0,other,-2.5463896,7.6934857
IGHG2,8,other,0.03133684,12.562341
STUB1,0,other,-2.5603056,7.21794
SNX5,16,other,3.7842176,6.9217362
SMARCB1,16,other,4.486046,7.1791134
PRKCSH,15,other,0.13695268,8.76557
PTTG1,7,other,-0.13008007,14.857922
DERL3,8,other,0.09685891,12.293291
NRBP1,1,other,0.9953908,9.215832
SIRPG,1,other,5.0718427,3.7638645
DNAJA2,0,other,-1.6120222,7.4076037
CCNL2,5,other,2.216193,6.252476
STAU1,0,other,-1.4882079,7.992023
MRPS12,0,other,-2.5834024,7.754402
TXN2,0,other,-1.5613502,6.7403126
ARID5A,1,other,4.390986,4.1204987
IK,1,other,3.7935288,4.5580187
ZNF292,5,other,3.1809094,5.5442286
FGFR1OP2,1,other,3.9170732,4.481146
FBP1,4,other,-0.6061126,7.2026525
TNIP1,1,other,4.24707,3.7438502
TMEM109,2,other,1.9430363,8.799501
FBXW5,1,other,4.4874682,4.1347775
FDFT1,1,other,-3.7336357,8.916147
DARS,2,other,0.017154213,10.669503
PDCD1,1,other,5.3984766,3.646626
ATF5,4,other,3.1228354,7.9935856
DGCR6L,0,other,-2.7804916,6.9996476
TNF,19,other,3.088199,4.6432686
PDLIM7,2,other,1.2134995,10.404756
CDC42EP1,10,other,-3.1442435,9.341833
MAP1LC3A,2,other,1.5028996,9.868095
COL11A1,2,other,1.0378405,11.756315
ITGB1BP1,2,other,0.84805936,9.713796
VTI1B,0,other,-1.0528938,6.967214
ATF3,19,other,1.7613277,5.094688
SCGB2A2,0,other,-3.1670737,7.7890816
RAB1A,15,other,-0.39851135,8.815048
OXNAD1,1,other,4.4855413,4.292976
ZBTB20,2,other,1.6401376,10.174606
CKLF,1,other,4.3108606,3.2490206
NOP58,14,other,3.8897989,5.555819
PSIP1,1,other,4.6775775,4.582926
LAMC1,2,other,1.7951269,10.201521
GPX3,2,other,2.0227063,9.95014
MESD,15,other,0.40668648,8.041775
WBP2,8,other,-2.619489,8.856883
TIAL1,1,other,3.8047857,4.552425
TMEM243,1,other,3.7770112,4.8433614
ERBB3,3,other,-4.596369,7.696188
AFF3,3,other,-4.6661367,9.793284
MRPS26,0,other,-2.8005574,8.19478
CYTH1,1,other,4.0674295,4.9101505
IGLC2,8,other,0.0067613455,12.66176
PPP1R1B,12,other,-1.2350456,10.944315
NIPBL,5,other,3.0408132,5.7329216
UBE2A,4,other,-0.25901973,7.279374
SEC61A1,15,other,0.36922956,8.417946
COL2A1,12,other,-1.2567942,9.950315
UBA2,6,other,2.3915236,10.130447
PBXIP1,1,other,4.549824,4.1851482
BNIP3,2,other,-0.116284,10.42213
UBE3A,5,other,1.8320901,6.3825912
CCR7,1,other,4.195321,4.798819
PSMD13,0,other,-1.5806813,8.037954
ADH5,13,other,1.0885942,9.703877
PCMTD1,20,other,-1.2425605,9.864859
NFATC2,1,other,4.485511,4.164903
MRPS16,0,other,-2.6195822,7.2347827
FNDC3B,4,other,1.7968742,8.610533
SUN2,1,other,4.1928425,4.2616634
AGR3,3,other,-4.9451456,10.014302
ATXN10,0,other,-2.850894,8.997283
SEC14L1,6,other,3.2720556,9.737097
CDK5RAP3,5,other,2.482502,6.1706543
RBMS1,2,other,1.6493521,9.733685
ARL5A,8,other,0.99734735,8.346287
PSTPIP1,1,other,4.515418,3.8354511
RTL8A,0,other,-1.7988923,8.196054
CMTM3,1,other,2.4804788,4.5343695
PHGR1,3,other,-5.1096773,9.887756
PDK4,6,other,2.8493905,9.412213
ATP2B4,1,other,3.162302,5.1365175
CEBPB,4,other,2.1575632,8.157404
CPXM1,2,other,1.675722,11.0001135
FBXO7,18,other,1.8742772,2.6260562
CXCL16,4,other,2.7889063,8.056413
ESD,2,other,1.1598061,9.518081
HINT2,0,other,-2.8690944,7.5085115
LMO4,19,other,-2.1362548,9.310163
MUC1,21,other,-5.0931473,6.6933064
CILP,2,other,1.5180615,10.794316
LPXN,1,other,3.5633574,4.118533
ARHGAP45,1,other,3.9454424,4.512582
IVNS1ABP,6,other,3.5658324,5.404436
IGKV4-1,8,other,-0.18423498,13.027698
SDHB,4,other,-0.5511374,7.3624625
PSMD2,0,other,-1.768924,7.916204
NUDT21,7,other,-2.2503097,10.699102
ZBTB38,1,other,3.602382,4.9452496
SMOC2,2,other,1.7169869,10.962737
FDPS,0,other,-1.2412567,8.436659
TADA3,1,other,2.47676,4.85709
TMEM173,1,other,4.383724,4.237742
IGHA1,8,other,0.056461856,12.683295
COPB2,11,other,-2.2787013,10.670187
MED10,1,other,3.7801518,4.722605
HSD17B10,0,other,-2.4511135,7.9166584
LIPA,4,other,2.9598687,7.8883986
FHL1,2,other,1.7800717,10.020784
TNFRSF12A,2,other,-0.095154375,9.485948
CREM,1,other,4.4048915,3.6962383
LTBP3,2,other,1.6242032,10.431092
JUP,3,other,-4.5000362,7.723439
FAP,2,other,1.182275,11.50199
MRPS7,0,other,-2.197281,8.022144
TMC6,1,other,4.06638,4.5961714
PLPP2,8,other,-2.9995654,9.3011265
MCRIP1,2,other,-0.8258843,7.9908733
COMMD7,1,other,4.4541335,3.7958772
DHX36,5,other,3.92026,5.4438124
RABGAP1L,1,other,4.365195,4.566379
RAB8A,4,other,1.923242,2.9957757
DDR1,3,other,-4.4083066,7.622362
ZNF593,0,other,-2.6411712,7.5245323
SMIM37,0,other,-1.466898,6.8503513
ECM1,13,other,-4.2781878,12.258116
PHF11,18,other,1.6975824,2.731611
FXYD1,2,other,1.8061746,10.550327
LAMB1,2,other,1.944527,10.032225
SERPINE2,12,other,0.03432423,10.203062
EMC6,0,other,-2.6871607,7.2045765
KRTCAP3,12,other,-1.8077992,11.251968
IGBP1,9,other,-1.9415416,3.938109
TAF7,5,other,2.8321092,5.482491
PCSK7,1,other,3.7210863,5.0518913
OGN,2,other,1.5058194,10.807146
LINC01871,1,other,5.4078927,3.5976417
RUNX3,1,other,5.355219,3.9168797
SARS,0,other,-3.435303,9.006895
VPS35,4,other,-0.5582022,7.129096
NDUFS2,0,other,-1.7856675,7.935031
YY1,5,other,0.9278339,6.560036
SRPRA,15,other,0.49995163,8.353254
PDCD10,0,other,-2.2167041,8.335066
NFE2L2,4,other,2.1122386,8.00312
TSPAN14,1,other,3.3210871,5.0647984
MRPS30,3,other,-4.583386,9.721955
RHOC,2,other,0.9533727,8.33943
IAH1,1,other,2.708962,4.671375
IGHV5-51,8,other,-0.13280043,13.064992
EPN1,6,other,0.84483004,7.777756
PPP3CC,1,other,3.9760444,4.808369
DPYSL3,2,other,1.23767,11.868174
RPA3,7,other,-0.032197732,14.909575
KCTD12,4,other,3.1006563,7.985415
PGD,4,other,3.5347104,8.531895
MGMT,6,other,-1.1389937,8.056473
CD163,4,other,3.7154424,8.075319
SYAP1,0,other,-2.698309,8.354226
PARP10,18,other,1.4623808,2.7604024
IGLV2-14,8,other,-0.18462054,13.063126
SFRP1,11,other,-1.6140902,10.027885
CMPK1,0,other,-1.9664533,7.4869847
COX7A1,2,other,1.5833912,9.696814
DECR1,0,other,-1.97318,8.140794
S100B,8,other,-2.9216745,9.898533
IGKV1-5,8,other,-0.052149285,12.898606
CMC1,1,other,5.0093675,3.7038567
TMEM208,15,other,-0.36172983,8.640139
SAA1,11,other,-2.3449523,10.193942
RSU1,2,other,1.3957028,9.405927
MRPL27,0,other,-2.483005,7.350247
DDX39A,7,other,0.036257576,14.731365
GPRIN3,1,other,4.746715,4.639098
MT1M,6,other,1.8692864,9.818897
RNF10,1,other,2.7141964,5.3477516
MRPS18C,0,other,-2.0521903,7.7929273
SLIT3,2,other,1.7905779,10.544569
TBX3,20,other,-2.170769,8.944653
MAGED1,15,other,-0.51276207,9.270755
HMOX2,1,other,4.2081685,4.242761
FGF7,2,other,2.0664215,10.905357
CAMLG,0,other,-0.93512785,7.6207952
OAT,0,other,-1.0843543,8.749837
HSPB11,1,other,2.272057,5.4177804
NREP,2,other,1.1715976,10.983619
KMT2C,5,other,1.9093214,6.508564
TMX4,1,other,3.5703769,4.4428177
HSPA1B,19,other,0.8522806,5.7482944
S1PR1,6,other,3.3481205,9.6167145
EMC10,5,other,0.95774454,7.472471
NRDC,5,other,2.5861905,6.0115666
SCPEP1,4,other,1.8452811,8.47103
PHF3,5,other,2.2823842,6.193772
RAB11FIP1,3,other,-4.4676723,7.7108936
HBB,17,other,-1.3609021,12.184625
RNF114,4,other,-1.6711843,8.344132
BPTF,5,other,2.1524634,6.3325243
GTF2H5,0,other,-2.0522702,7.212887
NQO1,3,other,-4.517869,7.719868
KLF4,19,other,2.3320732,8.242459
POLR2J,0,other,-2.3544748,8.037397
ARHGAP30,1,other,4.1945662,4.299057
RHOBTB3,12,other,-0.67952657,10.524716
LUC7L2,5,other,1.2679607,6.196481
NENF,0,other,-0.6282979,8.597984
SAT2,0,other,0.11948832,8.458431
GGNBP2,5,other,3.3413887,5.6830707
CXCR6,1,other,5.1796403,3.7565842
NDUFS3,0,other,-1.7991048,7.7091084
RGS2,4,other,3.3622546,7.643108
ITSN2,1,other,4.082435,5.2425675
EFNA1,12,other,-1.2104049,10.986804
EMILIN1,2,other,1.4638269,11.3776245
GNPTG,4,other,1.1463921,8.021314
NAA20,0,other,-2.0024104,8.131716
CHCHD5,0,other,-2.6948514,7.282823
UBE2E3,2,other,0.7968774,9.821992
BTN3A2,1,other,4.167097,4.328515
CRYBG1,1,other,4.005436,4.8210444
YTHDF2,8,other,-3.7779214,9.72584
DPY30,0,other,-2.705945,7.964407
ZFAND6,0,other,-3.479122,8.6524515
FLI1,1,other,4.2934914,5.355713
ASNA1,0,other,-2.1304176,7.702644
HDAC2,0,other,-2.0126936,7.5003624
TAOK3,1,other,4.262356,5.5355663
PIGT,15,other,-0.08658095,8.813706
MAP3K8,4,other,4.769685,8.130983
MAPK1IP1L,1,other,4.0039377,4.144053
MRPL36,0,other,-2.483319,7.6450553
NBEAL1,9,other,-1.910099,3.3612053
SUSD3,1,other,2.4811351,5.2558603
LYST,1,other,5.3482027,3.9510787
RBBP6,5,other,2.5297585,5.7047877
RAMP3,6,other,3.0317059,9.263859
PABPC4,10,other,-2.6191878,9.215089
CNIH4,15,other,-1.1574707,9.0803175
TRAPPC2L,0,other,-2.227538,7.275891
PPP1R11,1,other,3.5784109,4.0357413
SORBS3,2,other,1.664542,9.801885
GSTM1,0,other,-3.169925,8.225203
SCRG1,12,other,-1.3430198,11.058436
RTF1,5,other,1.4946703,6.6493163
GDI1,5,other,2.2341642,6.5649323
LILRB4,4,other,3.1030514,7.9361467
LMCD1,6,other,2.2729564,9.524959
MRPS18B,0,other,-2.3608942,8.516665
CNDP2,4,other,2.1454263,7.408104
SLC16A3,4,other,3.3270228,8.033767
BAZ1A,1,other,4.044241,4.880638
LRRC59,15,other,-0.7875599,8.5024605
SPTSSA,0,other,-2.2296922,7.9924045
DEPP1,2,other,1.9444414,10.00301
SLC39A1,15,other,-0.41015258,9.462601
BIRC6,5,other,2.8485148,6.012732
MDFI,12,other,-1.1443421,10.9571
MAL2,8,other,-2.72567,9.937392
FILIP1L,2,other,1.3853805,10.3339405
