group,celltype,PC1,PC2
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,36.87272771609666,35.70879948379855
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,175.6253361374293,-41.235424552414706
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,101.85756910141703,-41.394337956786146
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,141.24319215837014,-26.45642528294601
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-127.79402220129244,23.561076568209632
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,65.64666004863827,37.01921137243008
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,180.94929703102298,-83.13144527019469
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,16.057916925728613,-21.494041644800085
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-235.28863984075952,-55.763950496003396
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-302.4780263044549,34.92285166009594
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,17.873064670157998,-24.528626622268153
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,259.39982995893195,-7.3718698676203545
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-158.12908736743827,-40.10955537075645
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,8.806569929327416,34.05288751034833
sim=cosine__emode=topk__k=50__walks=5__wlen=6__dim=64__ep=20__win=4__mc=5__seed=42,unknown,-159.26757436642868,16.307399532277106
